,http://183.237.246.14:9931/tsfile/live/1008_1.m3u8
CGTN法语,http://183.238.248.82:9000/udp/239.21.0.112:3788
CGTN法语,http://183.238.248.84:9000/udp/239.21.0.112:3788
CGTN法语,http://220.166.245.152:66/udp/239.93.42.50:5140
CGTN法语,http://59.175.19.242:8888/rtp/239.69.1.235:11052
CGTN法语,http://59.39.70.214:80/udp/239.77.0.228:5146
CGTN法语,http://60.187.128.214:7777/rtp/233.50.201.37:5140
CGTN法语,http://60.187.197.91:7777/rtp/233.50.201.37:5140
CGTN法语,http://61.140.124.156:8888/udp/239.77.0.228:5146
CGTN法语,http://61.140.201.112:8028/udp/239.77.0.228:5146
CGTN法语,http://iptv.tvfix.org/hls/cgtnfhd.m3u8
CGTN纪录,http://39.130.215.222:6410/gitv_live/G_CGTVJL-HD/G_CGTVJL-HD.m3u8
CGTN纪录,http://iptv.tvfix.org/hls/cgtndochd.m3u8
CGTN英文记录,http://183.11.239.36:808/hls/77/index.m3u8
CGTN英语,http://113.81.159.164:58888/udp/239.77.0.199:5146
CGTN英语,http://116.5.238.67:8000/udp/239.77.0.199:5146
CGTN英语,http://118.114.168.248:4455/udp/239.93.0.104:5140
CGTN英语,http://118.121.58.80:2121/udp/239.93.0.104:5140
CGTN英语,http://120.77.205.62:8087/udp/239.77.0.199:5146
CGTN英语,http://171.217.52.64:1880/udp/239.93.0.104:5140
CGTN英语,http://171.221.223.79:4443/udp/239.93.0.104:5140
CGTN英语,http://171.223.215.229:4000/udp/239.93.0.104:5140
CGTN英语,http://183.238.248.82:9000/udp/239.21.0.109:3776
CGTN英语,http://183.238.248.84:9000/udp/239.21.0.109:3776
CGTN英语,http://220.166.245.152:66/udp/239.93.0.104:5140
CGTN英语,http://59.39.70.214:80/udp/239.77.0.199:5146
